      fo_v2	      Io_v2	      Eo_v2
  1.7783610e+003  8.1429037e-025  3.0627253e+003
  1.7790340e+003  1.3019050e-037  8.6691011e+003
  1.7988311e+003  2.8508824e-032  6.6678606e+003
  1.8335700e+003  4.6814382e-028  4.5109897e+003
  1.8821771e+003  1.5594782e-025  3.2925499e+003
  1.8978303e+003  1.1597898e-036  8.5422644e+003
  1.9310489e+003  3.3649553e-022  1.1053794e+003
  1.9411029e+003  1.2983127e-028  4.8052039e+003
  1.9562397e+003  1.3303910e-024  1.1648500e+003
  1.9685068e+003  1.5655945e-037  8.8053992e+003
  1.9692235e+003  1.9510990e-034  7.5815076e+003
  1.9781124e+003  1.1142414e-021  1.1314428e+003
  1.9958811e+003  5.6543059e-026  3.5335746e+003
  2.0103714e+003  6.9387190e-022  1.1500167e+003
  2.0292012e+003  7.6785514e-022  1.1611438e+003
  2.0354539e+003  1.5811727e-021  1.1648500e+003
  2.0576145e+003  6.8120731e-029  5.1103120e+003
  2.1201508e+003  3.8840007e-026  3.7856794e+003
  2.1822529e+003  8.4251821e-030  5.4264074e+003
  2.2444659e+003  2.0681370e-021  9.5177620e+002
  2.2521118e+003  7.9429037e-022  9.4779770e+002
  2.2557647e+003  6.3179953e-027  4.0487459e+003
  2.3115947e+003  1.9542463e-030  5.7537596e+003
  2.4036509e+003  1.9479567e-027  4.3226730e+003
  2.4272698e+003  3.9946552e-033  7.1887789e+003
  2.4363168e+003  8.4116133e-031  6.0928752e+003
  2.5186174e+003  4.0689214e-022  1.1706269e+003
  2.5347631e+003  8.2352976e-032  6.4445164e+003
  2.5427822e+003  1.5848176e-024  1.2327454e+003
  2.5613826e+003  1.4163784e-032  6.8095945e+003
  2.5649149e+003  1.1383591e-027  4.6074029e+003
  2.5781313e+003  6.6508828e-022  1.2041285e+003
  2.6220027e+003  1.6480838e-021  1.2301032e+003
  2.6282161e+003  4.6257195e-034  7.6733908e+003
  2.6519444e+003  9.1913499e-022  1.2486174e+003
  2.6694114e+003  9.6845467e-022  1.2597073e+003
  2.7407500e+003  1.5753581e-028  4.9029578e+003
  2.8222583e+003  1.7594596e-021  9.8805200e+002
  2.8452904e+003  1.1767367e-021  9.7612710e+002
  2.9320028e+003  4.1245759e-029  5.2094847e+003
  3.1015584e+003  8.2258218e-022  1.2481350e+003
  3.1324961e+003  2.3135522e-024  1.3814774e+003
  3.1379298e+003  2.0364760e-029  5.5272946e+003
  3.1732897e+003  6.5929426e-022  1.2890750e+003
  3.2280396e+003  8.0571101e-022  1.3224429e+003
