      fo_rot	      Io_rot	      Eo_rot	    gNH3_rot	      gH2_rot	     gHe_rot
  5.3174311e+003  1.9515483e-019  6.7849450e+002  1.0013300e+001  1.6639000e+000  8.0440000e-001
  5.3212523e+003  5.9030885e-020  4.7735570e+002  1.8527600e+001  2.1136000e+000  7.9390000e-001
  5.3239342e+003  9.9467064e-020  6.5307730e+002  1.1962000e+001  1.7448000e+000  8.0230000e-001
  5.3323896e+003  1.0013348e-019  6.2027230e+002  1.3311100e+001  1.8588000e+000  8.0020000e-001
  5.3429785e+003  1.9488540e-019  5.7998650e+002  1.4930000e+001  1.9967000e+000  7.9810000e-001
  5.3559080e+003  8.6991996e-020  5.3210100e+002  1.6668900e+001  2.0806000e+000  7.9600000e-001
  5.3714285e+003  6.0197617e-020  4.7647110e+002  1.8557600e+001  2.1286000e+000  7.9390000e-001
  5.4151785e+003  2.6728790e-023  1.2947521e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.4153647e+003  2.6710333e-023  1.2944025e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.4667840e+003  7.9593811e-024  1.4291181e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.4774281e+003  1.7913453e-022  1.0837879e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.5163791e+003  1.3160709e-023  1.1745291e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.5240492e+003  1.3264146e-023  1.1738155e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.5457995e+003  6.5174738e-023  8.8457630e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.5470731e+003  6.4324926e-023  8.8412220e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.5694960e+003  1.5954357e-023  9.3799570e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.5784418e+003  1.6098273e-023  9.3716570e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.6193363e+003  1.1002194e-023  7.2034060e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.6196798e+003  7.6327194e-023  6.9712370e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.6217102e+003  7.7997251e-023  6.9660200e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.6999570e+003  2.7604463e-022  5.2142960e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.7870628e+003  3.8804250e-023  3.5749120e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.7912161e+003  3.9181341e-023  3.5679090e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
