Frequency (Hz),N,M,L,Absorption (dB/km),2_ Absorption ,Refraction,2_ Refraction,Pressure (bars),2_ Pressure ,Temperature K,2_ Temperature ,2_ Dielectric,2_ Transmissivity,2_ Instrumentation _wave ,Argon Refrac,2_ Refraction Ar,T Argon K,P Argon (bars) ,Ideal H2O conc,Ideal He conc,Ideal H2 conc,H2O Hygrometer Partial Pressure (mbars),2_ Hygrometer ,H2 density (g/m**3),He density (g/m**3),H2O density (g/m**3),X H2O ,X He mole fraction,X H2 mole fraction,Quality Flag
3431917322,0,2,4,0.198197885,0.201619568,5214.088962,0.667154905,48.98963814,0.041367899,376.15,0.901,4.87608E-06,0.201562508,0.001085705,5212.472559,0.667210297,376.25,26.24198198,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
4297000619,0,2,6,0.412114616,0.455098915,5219.145107,0.667271004,48.98963814,0.041367899,376.15,0.901,3.53476E-05,0.449541933,0.00168841,5217.635896,0.667657325,376.25,26.2412684,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
5055190532,0,3,6,0.381411212,0.158204722,5212.632709,0.667381107,48.98963814,0.041367899,376.15,0.901,1.25804E-06,0.158068158,0.001750044,5209.922231,0.667348571,376.3,26.23811347,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
5274918121,0,2,8,0.620024389,0.402737727,5223.123563,0.667496285,48.98963814,0.041367899,376.15,0.901,2.10761E-05,0.401021685,0.002627045,5223.296979,0.667535388,376.15,26.24403458,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
5908944237,0,3,8,0.6660886,0.357090204,5217.40315,0.667626752,48.98963814,0.041367899,376.15,0.901,3.36361E-05,0.326454088,0.001951761,5216.446737,0.667590238,376.2,26.235584,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
1497487904,0,1,1,0.02552048,0.022908183,7319.257328,0.668158908,74.40940949,0.041367899,376.2,0.901016667,1.45199E-06,0.02287856,0.000133577,7319.883606,0.668941811,376.2,36.83608342,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
1800354879,0,1,2,0.037593284,0.080642575,7332.71713,0.668143722,74.40940949,0.041367899,376.2,0.901016667,5.82188E-07,0.080623816,0.000406487,7331.742581,0.668292809,376.3,36.83990873,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
2214894359,0,1,3,0.101569615,0.105867263,7342.518083,0.668194706,74.40940949,0.041367899,376.2,0.901016667,1.06468E-06,0.105857176,0.00070617,7341.58392,0.66821738,376.3,36.84077435,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
2780933163,0,2,2,0.10315103,0.053947285,7320.333116,0.668191189,74.40940949,0.041367899,376.2,0.901016667,1.49285E-07,0.053895982,0.000427719,7319.361253,0.66814867,376.3,36.83751057,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
3065642830,0,2,3,0.178534938,0.154729264,7328.061573,0.668173965,74.40940949,0.041367899,376.2,0.901016667,1.61884E-07,0.154722322,0.000579616,7328.026579,0.668181169,376.25,36.83895845,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
3424687936,0,2,4,0.246820811,0.237991713,7333.53071,0.668170714,74.40940949,0.041367899,376.2,0.901016667,2.21414E-06,0.237990222,0.000821979,7333.525416,0.66819352,376.2,36.83954244,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
4287946052,0,2,6,0.384475596,0.468882847,7343.585748,0.668271267,74.40940949,0.041367899,376.2,0.901016667,2.47757E-05,0.467179306,0.001001856,7342.59653,0.668305958,376.2,36.8391105,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
5044541122,0,3,6,0.405388463,0.177492466,7333.339871,0.668470126,74.40940949,0.041367899,376.2,0.901016667,2.85601E-06,0.175272404,0.001802902,7333.294862,0.668317808,376.15,36.83995193,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
5263806221,0,2,8,0.681870286,0.410066981,7348.872053,0.668803149,74.40940949,0.041367899,376.2,0.901016667,3.60052E-06,0.409820966,0.002006484,7347.268404,0.66865134,376.25,36.84440442,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
5896491075,0,3,8,0.778076286,0.314849606,7341.448025,0.668748625,74.40940949,0.041367899,376.2,0.901016667,1.89852E-06,0.3147963,0.002097771,7339.699937,0.668416404,376.25,36.83930401,0.004330098,0.134415437,0.861254466,NaN,0,3912.976065,1212.521481,186.4261365,0.004590386,0.134380298,0.861029316,0
